Author,Number of Articles Published
"Elsner, Benjamin",1
"Isphording, Ingo E.",1
"Smith, Bruce D.",2
"Johnson, Matthew",1
"Keane, Michael P.",4
"Stinebrickner, Todd R.",2
"Zenou, Yves",3
"Dagsvik, John",1
"Jovanovic, Boyan",2
"Shepard, Andrea",1
"Lazear, Edward P.",10
"Francesconi, Marco",3
"Gustman, Alan L.",4
"Steinmeier, Thomas L.",4
"Colombino, Ugo",1
"De Stavola, Bianca",1
"Sparks, Roger",1
"Goldin, Claudia",3
"Katz, Lawrence F.",4
"Walsh, Frank",1
"Kiefer, Nicholas M.",3
"Burkhauser, Richard V.",1
"Couch, Kenneth A.",2
"Wittenburg, David C.",1
"Pencavel, John",2
"Hartsog, Catherine E.",1
"Moulton, Brent R.",1
"Marino, Anthony M.",1
"Zabojnik, Jan",2
"Bowlus, Audra J.",2
"Idson, Todd L.",2
"Feaster, Daniel J.",1
"McCall, B. P.",1
"McCall, J. J.",1
"Ribar, David C.",1
"Hutchens, Robert M.",1
"Asch, Beth J.",1
"Warner, John T.",2
"Bulow, Jeremy I.",1
"Summers, Lawrence H.",3
"Prendergast, Canice J.",1
"Oyer, Paul",2
"Stern, Steven",3
"De Paola, Maria",1
"Scoppa, Vincenzo",1
"Pupo, Valeria",1
"Stinebrickner, Ralph",4
"Stinebrickner, Todd",3
"Goodman, Joshua",1
"Hurwitz, Michael",2
"Smith, Jonathan",2
"Seitz, Shannon",1
"Mellow, Wesley",1
"Sider, Hal",1
"Lundberg, Shelly",4
"Plotnick, Robert D.",1
"Ruhm, Christopher J.",4
"Montgomery, James D.",1
"Smith, James P.",4
"Welch, Finis",6
"Leonard, Jonathan S.",3
"Horstmann, Ignatius J.",1
"Mathewson, Frank",1
"Quigley, Neil",1
"Mengistae, Taye",1
"Xu, Lixin Colin",1
"Ashenfelter, Orley",2
"Bray, Jeremy W.",1
"Mullahy, John",1
"Sindelar, Jody L.",1
"Fortin, Nicole M.",1
"Farber, Henry S.",4
"Blinder, Alan S.",2
"Krueger, Alan B.",6
"Gyourko, Joseph",1
"Tracy, Joseph",3
"Chiswick, Barry R.",6
"Shimada, Haruo",1
"Higuchi, Yoshio",1
"Riboud, Michelle",2
"Franz, Wolfgang",1
"Shaw, Kathryn L.",4
"Courty, Pascal",1
"Marschke, Gerald",1
"Thomas, Jonathan M.",1
"Trivedi, P. K.",2
"Hui, W. T.",1
"Tracy, Joseph S.",3
"Sasaki, Masaru",1
"Dickinson, David L.",1
"Duncan, Greg J.",2
"Hill, Daniel H.",1
"DeVaro, Jed",3
"Kauhanen, Antti",1
"Boyd, Donald",1
"Lankford, Hamilton",1
"Loeb, Susanna",1
"Wyckoff, James",1
"Kleiner, Morris M.",2
"Reilly, Kevin T.",1
"Pistaferri, Luigi",1
"Foote, Christopher L.",1
"Whatley, Warren C.",1
"Wright, Gavin",1
"Currie, Janet",5
"Holzer, Harry",1
"Neumark, David",8
"Hunt, Jennifer",4
"Budd, John W.",2
"Slaughter, Matthew J.",1
"Lechner, Michael",1
"Wunsch, Conny",1
"Flinn, Christopher J.",1
"Heckman, James J.",7
"Hashimoto, Mansanori",1
"Howell, Jessica S.",1
"Borjas, George J.",7
"Bredemeier, Christian",1
"Juessen, Falko",1
"Aydemir, Abdurrahman",1
"Grogger, Jeffrey",1
"Hanson, Gordon H.",2
"Charness, Gary",3
"Pecorino, Paul",1
"Van Boening, Mark",1
"Sopher, Barry",1
"Card, David",7
"Olson, Craig A.",2
"Daniel, Christophe",1
"Sofer, Catherine",1
"Breen, Richard",1
"Garcia-Penalosa, Cecilia",1
"Biddle, Jeff E.",2
"Hamermesh, Daniel S.",5
"Kandel, Eugene",1
"Simhon, Avi",1
"LaFontaine, Paul A.",2
"Mincer, Jacob",3
"Moretti, Enrico",1
"Kessler, Daniel",1
"Behrman, Jere R.",2
"Taubman, Paul",3
"Griliches, Zvi",2
"Johnson, Matthew T.",1
"Bernhardt, Dan",3
"Backus, David",1
"Prendergast, Canice",3
"Bowlus, Audra",1
"Liu, Haoming",1
"Robinson, Chris",6
"Jacob, Brian A.",2
"Lefgren, Lars",2
"Wong, Linda Y.",2
"Manacorda, Marco",1
"Pavan, Ronni",2
"Auriol, Emmanuelle",1
"Friebel, Guido",1
"Pechlivanos, Lambros",1
"Andersson, Fredrik",1
"Even, William E.",1
"Brewer, Dominic J.",1
"Altonji, Joseph G.",5
"Kahn, Lisa B.",1
"Speer, Jamin D.",1
"MacDonald, Glenn M.",2
"Baker, George P.",1
"Hall, Brian J.",1
"Gottschalk, Peter",5
"Moffitt, Robert",3
"Bharadwaj, Prashant",1
"Lange, Fabian",3
"Maurin, Eric",3
"Thesmar, David",1
"Blau, Francine D.",4
"Kahn, Lawrence M.",8
"Beaudry, Paul",2
"Green, David A.",4
"Bernal, Raquel",1
"Dinopoulos, Elias",1
"Zhao, Laixun",1
"Lefebvre, Pierre",1
"Merrigan, Philip",1
"Weiss, Yoram",8
"Willis, Robert J.",4
"Zarkin, Gary A.",2
"Mani, Anandi",1
"Mullin, Charles H.",1
"Glaeser, Edward L.",2
"Mare, David C.",1
"Burke, Mary A.",1
"Sass, Tim R.",2
"Falk, Armin",3
"Ichino, Andrea",2
"Doran, Kirk B.",1
"Freeman, Richard B.",6
Wei Huang,1
"Blakemore, Arthur E.",3
"Hunt, Janet C.",1
"Kiker, B. F.",1
"Ichniowski, Casey",3
"Lauer, Harrison",1
"Loury, Linda Datcher",2
"Garman, David",1
"Kossoudji, Sherrie A.",2
"Cobb-Clark, Deborah A.",2
"Ehrenberg, Ronald G.",3
"Smith, Robert S.",1
"Gibbons, Robert",4
"Lemieux, Thomas",3
"Parent, Daniel",5
"Li, Elizabeth H.",1
"Wolfe, John R.",1
"Ortin-Angel, Pedro",1
"Salas-Fumas, Vicente",1
"Baker, George",1
"Shaw, Kathryn",3
