Article Title,Author,,,,
A Big Fish in a Small Pond: Ability Rank and Human Capital Investment,"Elsner, Benjamin; Isphording, Ingo E.",,,,
A Business Cycle Model with Private Information,"Smith, Bruce D.",,,,
"A Dynamic Equilibrium Model of the US Wage Structure, 1968-1996","Johnson, Matthew; Keane, Michael P.",,,,
A Dynamic Model of Teacher Labor Supply,"Stinebrickner, Todd R.",,,,
A Dynamic Model of Weak and Strong Ties in the Labor Market,"Zenou, Yves",,,,
A Foundation for Three Popular Assumptions in Job-matching Models,"Dagsvik, John; Jovanovic, Boyan; Shepard, Andrea",,,,
A Gifted Economist and the Ultimate Social Scientist,"Lazear, Edward P.",,,,
A Joint Dynamic Model of Fertility and Work of Married Women,"Francesconi, Marco",,,,
A Model for Analyzing Youth Labor Market Policies,"Gustman, Alan L.; Steinmeier, Thomas L.",,,,
A Model of Female Labor Supply in Italy Using Cohort Data,"Colombino, Ugo; De Stavola, Bianca",,,,
A Model of Involuntary Unemployment and Wage Rigidity: Worker Incentives and the Threat of Dismissal,"Sparks, Roger",,,,
A Model of Nominal Contracts,"Smith, Bruce D.",,,,
A Most Egalitarian Profession: Pharmacy and the Evolution of a Family-Friendly Occupation,"Goldin, Claudia; Katz, Lawrence F.",,,,
A Multisector Model of Efficiency Wages,"Walsh, Frank",,,,
A Proposition and an Example in the Theory of Job Search with Hours Constraints,"Kiefer, Nicholas M.",,,,
A Reassessment of the New Economics of the Minimum Wage Literature with Monthly Data from the Current Population Survey,"Burkhauser, Richard V.; Couch, Kenneth A.; Wittenburg, David C.",,,,
"A Reconsideration of the Effects of Unionism on Relative Wages and Employment in the United States, 1920-1980","Pencavel, John; Hartsog, Catherine E.",,,,
A Reexamination of the Federal-Private Wage Differential in the United States,"Moulton, Brent R.",,,,
A Rent Extraction View of Employee Discounts and Benefits,"Marino, Anthony M.; Zabojnik, Jan",,,,
A Search Interpretation of Male-Female Wage Differentials,"Bowlus, Audra J.",,,,
A Selectivity Model of Employer-Size Wage Differentials,"Idson, Todd L.; Feaster, Daniel J.",,,,
A Sequential Study of Migration and Job Search,"McCall, B. P.; McCall, J. J.",,,,
A Simple Test for Heterogeneity in Exponential Models of Duration,"Kiefer, Nicholas M.",,,,
A Structural Model of Child Care and the Labor Supply of Married Women,"Ribar, David C.",,,,
A Test of Lazear's Theory of Delayed Payment Contracts,"Hutchens, Robert M.",,,,
A Theory of Compensation and Personnel Policy in Hierarchical Organizations with Application to the United States Military,"Asch, Beth J.; Warner, John T.",,,,
"A Theory of Dual Labor Markets with Application to Industrial Policy, Discrimination, and Keynesian Unemployment","Bulow, Jeremy I.; Summers, Lawrence H.",,,,
A Theory of Responsibility in Organizations,"Prendergast, Canice J.",,,,
A Theory of Sales Quotas with Limited Liability and Rent Sharing,"Oyer, Paul",,,,
"Ability, Promotion, and Optimal Retirement","Stern, Steven",,,,
Absenteeism in the Italian Public Sector: The Effects of Changes in Sick Leave Policy,"De Paola, Maria; Scoppa, Vincenzo; Pupo, Valeria",,,,
Academic Performance and College Dropout: Using Longitudinal Expectations Data to Estimate a Learning Model,"Stinebrickner, Ralph; Stinebrickner, Todd",,,,
Access to 4-Year Public Colleges and Degree Completion,"Goodman, Joshua; Hurwitz, Michael; Smith, Jonathan",,,,
Accounting for Racial Differences in Marriage and Employment,"Seitz, Shannon",,,,
Accuracy of Response in Labor Market Surveys: Evidence and Implications,"Mellow, Wesley; Sider, Hal",,,,
Adolescent Premarital Childbearing: Do Economic Incentives Matter?,"Lundberg, Shelly; Plotnick, Robert D.",,,,
Advance Notice and Postdisplacement Joblessness,"Ruhm, Christopher J.",,,,
"Advance Notice, Job Search, and Postdisplacement Earnings","Ruhm, Christopher J.",,,,
Adverse Selection and Employment Cycles,"Montgomery, James D.",,,,
Affirmative Action and Labor Markets,"Smith, James P.; Welch, Finis",,,,
Affirmative Action as Earnings Redistribution: The Targeting of Compliance Reviews,"Leonard, Jonathan S.",,,,
Agency Contracts with Long-Term Customer Relationships,"Horstmann, Ignatius J.; Mathewson, Frank; Quigley, Neil",,,,
Agency Theory and Executive Compensation: The Case of Chinese State-Owned Enterprises,"Mengistae, Taye; Xu, Lixin Colin",,,,
"Albert Rees: Teacher, Scholar, Public Servant","Ashenfelter, Orley",,,,
"Alcohol Use, Human Capital, and Wages","Bray, Jeremy W.",,,,
"Alcoholism, Work, and Income","Mullahy, John; Sindelar, Jody L.",,,,
"Allocation Inflexibilities, Female Labor Supply, and Housing Assets Accumulation: Are Women Working to Pay the Mortgage?","Fortin, Nicole M.",,,,
Alternative and Part-Time Employment Arrangements as a Response to Job Loss,"Farber, Henry S.",,,,
Alternative Measures of Offshorability: A Survey Approach,"Blinder, Alan S.; Krueger, Alan B.",,,,
An Analysis of Public- and Private-Sector Wages Allowing for Endogenous Choices of Both Government and Union Status,"Gyourko, Joseph; Tracy, Joseph",,,,
An Analysis of the Earnings and Employment of Asian-American Men,"Chiswick, Barry R.",,,,
An Analysis of Trends in Female Labor Force Participation in Japan,"Shimada, Haruo; Higuchi, Yoshio",,,,
An Analysis of Women's Labor Force Participation in France: Cross-Section Estimates and Time-Series Evidence,"Riboud, Michelle",,,,
"An Economic Analysis of Female Work Participation, Education, and Fertility: Theory and Empirical Evidence for the Federal Republic of Germany","Franz, Wolfgang",,,,
An Empirical Analysis of Risk Aversion and Income Growth,"Shaw, Kathryn L.",,,,
An Empirical Investigation of Gaming Responses to Explicit Performance Incentives,"Courty, Pascal; Marschke, Gerald",,,,
An Empirical Model of Sectoral Movements by Unemployed Workers,"Thomas, Jonathan M.",,,,
An Empirical Study of Long-term Unemployment in Australia,"Trivedi, P. K.; Hui, W. T.",,,,
An Empirical Test of an Asymmetric Information Model of Strikes,"Tracy, Joseph S.",,,,
An Equilibrium Search Model with Coworker Discrimination,"Sasaki, Masaru",,,,
An Experimental Examination of Labor Supply and Work Intensities,"Dickinson, David L.",,,,
An Investigation of the Extent and Consequences of Measurement Error in Labor-Economic Survey Data,"Duncan, Greg J.; Hill, Daniel H.",,,,
An 'Opposing Responses' Test of Classic versus Market-Based Promotion Tournaments,"DeVaro, Jed; Kauhanen, Antti",,,,
Analyzing the Determinants of the Matching of Public School Teachers to Jobs: Disentangling the Preferences of Teachers and Employers,"Boyd, Donald; Lankford, Hamilton; Loeb, Susanna; Wyckoff, James",,,,
Analyzing the Extent and Influence of Occupational Licensing on the Labor Market,"Kleiner, Morris M.; Krueger, Alan B.",,,,
Annual Hours and Weeks in a Life-Cycle Labor Supply Model: Canadian Evidence on Male Behavior,"Reilly, Kevin T.",,,,
"Anticipated and Unanticipated Wage Changes, Wage Risk, and Intertemporal Labor Supply","Pistaferri, Luigi",,,,
"Arbitraging a Discriminatory Labor Market: Black Workers at the Ford Motor Company, 1918-1947","Foote, Christopher L.; Whatley, Warren C.; Wright, Gavin",,,,
Arbitrator Behavior and the Variances of Arbitrated and Negotiated Wage Settlements,"Currie, Janet",,,,
Are Affirmative Action Hires Less Qualified? Evidence from Employer-Employee Data on New Hires,"Holzer, Harry; Neumark, David",,,,
Are Immigrants the Most Skilled US Computer and Engineering Workers?,"Hunt, Jennifer",,,,
Are Profits Shared across Borders? Evidence on International Rent Sharing,"Budd, John W.; Slaughter, Matthew J.",,,,
Are Training Programs More Effective When Unemployment Is High?,"Lechner, Michael; Wunsch, Conny",,,,
Are Unemployment and Out of the Labor Force Behaviorally Distinct Labor Force States?,"Flinn, Christopher J.; Heckman, James J.",,,,
Aspects of Labor Market Adjustments in Japan,"Hashimoto, Mansanori",,,,
Assessing the Impact of Eliminating Affirmative Action in Higher Education,"Howell, Jessica S.",,,,
Assimilation and Changes in Cohort Quality Revisited: What Happened to Immigrant Earnings in the 1980s?,"Borjas, George J.",,,,
"Assimilation, Changes in Cohort Quality, and the Earnings of Immigrants","Borjas, George J.",,,,
Assortative Mating and Female Labor Supply,"Bredemeier, Christian; Juessen, Falko",,,,
Attenuation Bias in Measuring the Wage Impact of Immigration,"Aydemir, Abdurrahman; Borjas, George J.",,,,
